Movie Name,Year,Character,IMDb Rating,Box Office
Alice in Wonderland,2010,Cheshire Cat,6.4,319323000.0
Alice in Wonderland,2010,Dinah the Cat,6.4,319323000.0
Alice in Wonderland,2010,The Dodo,6.4,319323000.0
Alice in Wonderland,2010,The Doorknob,6.4,319323000.0
Alice in Wonderland,2010,The Dormouse,6.4,319323000.0
Alice in Wonderland,2010,The King of Hearts,6.4,319323000.0
Alice in Wonderland,2010,Mad Hatter,6.4,319323000.0
Alice in Wonderland,2010,March Hare,6.4,319323000.0
Alice in Wonderland,2010,The Queen of Hearts,6.4,319323000.0
Alice in Wonderland,2010,The Rose,6.4,319323000.0
Alice in Wonderland,2010,Tweedledum and Tweedledee,6.4,319323000.0
Alice in Wonderland,2010,The Walrus,6.4,319323000.0
Alice in Wonderland,2010,White Rabbit,6.4,319323000.0
Make Mine Music,1946,Alice Bluebonnet,6.3,
The Fox and the Hound,1981,Amos Slade,7.3,
The Fox and the Hound,1981,Big Mama,7.3,
The Fox and the Hound,1981,Boomer,7.3,
The Fox and the Hound,1981,Chief,7.3,
The Fox and the Hound,1981,Copper,7.3,
The Fox and the Hound,1981,Dinky,7.3,
The Fox and the Hound,1981,Squeaks the Caterpillar,7.3,
The Fox and the Hound,1981,Tod,7.3,
The Fox and the Hound,1981,Vixey,7.3,
The Fox and the Hound,1981,Widow Tweed,7.3,
Cinderella,2015,Anastasia Tremaine,6.9,183327144.0
Cinderella,2015,Bruno the Dog,6.9,183327144.0
Cinderella,2015,Cinderella,6.9,183327144.0
Cinderella,2015,The Doorman,6.9,183327144.0
Cinderella,2015,Drizella Tremaine,6.9,183327144.0
Cinderella,2015,Fairy Godmother,6.9,183327144.0
Cinderella,2015,Footman,6.9,183327144.0
Cinderella,2015,The Grand Duke,6.9,183327144.0
Cinderella,2015,Gus Lollygagger,6.9,183327144.0
Cinderella,2015,"Jackson ""Jaq"" Hopscotch",6.9,183327144.0
Cinderella,2015,The King,6.9,183327144.0
Cinderella,2015,Lady Tremaine,6.9,183327144.0
Cinderella,2015,Lucifer the Cat,6.9,183327144.0
Cinderella,2015,Major the Horse,6.9,183327144.0
Cinderella,2015,Prince Charming,6.9,183327144.0
Brother Bear 2,2006,Anda,6.2,
Brother Bear 2,2006,Atka,6.2,
Brother Bear 2,2006,Aunt Siqiniq,6.2,
Brother Bear 2,2006,Aunt Taqqiq,6.2,
Brother Bear 2,2006,Hoonah,6.2,
Brother Bear 2,2006,Innoko,6.2,
Brother Bear 2,2006,Kata,6.2,
Brother Bear 2,2006,Nita,6.2,
Lilo & Stitch,2002,Angel (Experiment 624),7.2,145771527.0
Beauty and the Beast: The Enchanted Christmas,1997,Angelique,6.1,
Beauty and the Beast: The Enchanted Christmas,1997,Axe,6.1,
Beauty and the Beast: The Enchanted Christmas,1997,The Enchantress,6.1,
Beauty and the Beast: The Enchanted Christmas,1997,Fife the Piccolo,6.1,
Beauty and the Beast: The Enchanted Christmas,1997,Forte the Pipe Organ,6.1,
The Adventures of Ichabod and Mr. Toad,1949,Angus MacBadger,7.0,
The Adventures of Ichabod and Mr. Toad,1949,Cyril Proudbottom,7.0,
The Adventures of Ichabod and Mr. Toad,1949,Headless Horseman,7.0,
The Adventures of Ichabod and Mr. Toad,1949,Ichabod Crane,7.0,
The Adventures of Ichabod and Mr. Toad,1949,J. Thaddeus Toad,7.0,
The Adventures of Ichabod and Mr. Toad,1949,Katrina Van Tassel,7.0,
The Adventures of Ichabod and Mr. Toad,1949,Moley,7.0,
