Movie Name,Year,Genre,IMDb Rating,Box Office
Bonkers,1993,Animation,6.9,
Bonkers,1993, Comedy,6.9,
Bonkers,1993, Crime,6.9,
Bonkers,1993, Family,6.9,
The Nightmare Before Christmas,1993,Animation,8,8616662
The Nightmare Before Christmas,1993, Family,8,8616662
The Nightmare Before Christmas,1993, Fantasy,8,8616662
The Nightmare Before Christmas,1993, Musical,8,8616662
Aladdin and the Return of Jafar,1994,Animation,5.9,
Aladdin and the Return of Jafar,1994, Adventure,5.9,
Aladdin and the Return of Jafar,1994, Comedy,5.9,
Aladdin and the Return of Jafar,1994, Family,5.9,
Aladdin and the Return of Jafar,1994, Fantasy,5.9,
Aladdin and the Return of Jafar,1994, Musical,5.9,
Aladdin and the Return of Jafar,1994, Romance,5.9,
The Lion King,1994,Animation,8.5,94240635
The Lion King,1994, Adventure,8.5,94240635
The Lion King,1994, Drama,8.5,94240635
The Lion King,1994, Family,8.5,94240635
The Lion King,1994, Musical,8.5,94240635
Pocahontas,1995,Animation,6.7,
Pocahontas,1995, Adventure,6.7,
Pocahontas,1995, Drama,6.7,
Pocahontas,1995, Family,6.7,
Pocahontas,1995, Musical,6.7,
Pocahontas,1995, Romance,6.7,
A Goofy Movie,1995,Animation,6.8,
A Goofy Movie,1995, Adventure,6.8,
A Goofy Movie,1995, Comedy,6.8,
A Goofy Movie,1995, Family,6.8,
A Goofy Movie,1995, Musical,6.8,
A Goofy Movie,1995, Romance,6.8,
The Hunchback of Notre Dame,1996,Animation,6.9,
The Hunchback of Notre Dame,1996, Drama,6.9,
The Hunchback of Notre Dame,1996, Family,6.9,
The Hunchback of Notre Dame,1996, Musical,6.9,
The Hunchback of Notre Dame,1996, Romance,6.9,
101 Dalmatians,1996,Adventure,5.7,
101 Dalmatians,1996, Comedy,5.7,
101 Dalmatians,1996, Crime,5.7,
101 Dalmatians,1996, Family,5.7,
Jungle Cubs,1996,Animation,6.3,
Jungle Cubs,1996, Adventure,6.3,
Jungle Cubs,1996, Comedy,6.3,
Jungle Cubs,1996, Family,6.3,
Aladdin and the King of Thieves,1996,Animation,6.4,
Aladdin and the King of Thieves,1996, Adventure,6.4,
Aladdin and the King of Thieves,1996, Comedy,6.4,
Aladdin and the King of Thieves,1996, Family,6.4,
Aladdin and the King of Thieves,1996, Fantasy,6.4,
Aladdin and the King of Thieves,1996, Musical,6.4,
Aladdin and the King of Thieves,1996, Romance,6.4,
Hercules,1997,Animation,7.3,
Hercules,1997, Adventure,7.3,
Hercules,1997, Comedy,7.3,
Hercules,1997, Family,7.3,
Hercules,1997, Fantasy,7.3,
Hercules,1997, Musical,7.3,
Hercules,1997, Romance,7.3,
Beauty and the Beast: The Enchanted Christmas,1997,Animation,6.1,
Beauty and the Beast: The Enchanted Christmas,1997, Family,6.1,
Beauty and the Beast: The Enchanted Christmas,1997, Fantasy,6.1,
Beauty and the Beast: The Enchanted Christmas,1997, Music,6.1,
Beauty and the Beast: The Enchanted Christmas,1997, Musical,6.1,
101 Dalmatians: The Series,1997,Animation,6.1,
101 Dalmatians: The Series,1997, Short,6.1,
101 Dalmatians: The Series,1997, Adventure,6.1,
101 Dalmatians: The Series,1997, Comedy,6.1,
101 Dalmatians: The Series,1997, Family,6.1,
Pepper Ann,1997,Animation,7.1,
Pepper Ann,1997, Family,7.1,
Pepper Ann,1997, Comedy,7.1,
Belle's Magical World,1998,Animation,5.4,
Belle's Magical World,1998, Comedy,5.4,
Belle's Magical World,1998, Family,5.4,
Belle's Magical World,1998, Fantasy,5.4,
Belle's Magical World,1998, Musical,5.4,
Belle's Magical World,1998, Romance,5.4,
Mulan,1998,Animation,7.6,
Mulan,1998, Adventure,7.6,
Mulan,1998, Family,7.6,
Mulan,1998, Fantasy,7.6,
Mulan,1998, Musical,7.6,
Mulan,1998, War,7.6,
Tarzan,1999,Animation,7.3,
Tarzan,1999, Adventure,7.3,
Tarzan,1999, Family,7.3,
Tarzan,1999, Romance,7.3,
Fantasia 2000,1999,Animation,7.2,
Fantasia 2000,1999, Comedy,7.2,
Fantasia 2000,1999, Family,7.2,
Fantasia 2000,1999, Fantasy,7.2,
Fantasia 2000,1999, Music,7.2,
Journey Into Imagination: With Figment,1999,Short,6,
Dinosaur,2000,Animation,6.5,135606304
Dinosaur,2000, Adventure,6.5,135606304
Dinosaur,2000, Family,6.5,135606304
Dinosaur,2000, Thriller,6.5,135606304
An Extremely Goofy Movie,2000,Animation,6.3,
An Extremely Goofy Movie,2000, Comedy,6.3,
An Extremely Goofy Movie,2000, Family,6.3,
An Extremely Goofy Movie,2000, Sport,6.3,
The Emperor's New Groove,2000,Animation,7.3,87320505
The Emperor's New Groove,2000, Adventure,7.3,87320505
The Emperor's New Groove,2000, Comedy,7.3,87320505
The Emperor's New Groove,2000, Family,7.3,87320505
The Emperor's New Groove,2000, Fantasy,7.3,87320505
The Weekenders,2000,Animation,8,
The Weekenders,2000, Comedy,8,
The Weekenders,2000, Family,8,
House of Mouse,2001,Animation,7.6,
House of Mouse,2001, Comedy,7.6,
House of Mouse,2001, Family,7.6,
Atlantis: The Lost Empire,2001,Animation,6.9,83561615
Atlantis: The Lost Empire,2001, Action,6.9,83561615
Atlantis: The Lost Empire,2001, Adventure,6.9,83561615
Atlantis: The Lost Empire,2001, Family,6.9,83561615
Atlantis: The Lost Empire,2001, Fantasy,6.9,83561615
Atlantis: The Lost Empire,2001, Sci-Fi,6.9,83561615
Silly Symphonies Souvenirs,2001,Documentary,7.4,
Silly Symphonies Souvenirs,2001, Short,7.4,
Lilo & Stitch,2002,Animation,7.2,145771527
Lilo & Stitch,2002, Adventure,7.2,145771527
Lilo & Stitch,2002, Comedy,7.2,145771527
Lilo & Stitch,2002, Drama,7.2,145771527
Lilo & Stitch,2002, Family,7.2,145771527
Lilo & Stitch,2002, Fantasy,7.2,145771527
Lilo & Stitch,2002, Sci-Fi,7.2,145771527
Lilo & Stitch,2002,Animation,7.2,145771527
Lilo & Stitch,2002, Adventure,7.2,145771527
Lilo & Stitch,2002, Comedy,7.2,145771527
Lilo & Stitch,2002, Drama,7.2,145771527
Lilo & Stitch,2002, Family,7.2,145771527
Lilo & Stitch,2002, Fantasy,7.2,145771527
Lilo & Stitch,2002, Sci-Fi,7.2,145771527
The Country Bears,2002,Comedy,4.1,16892873
The Country Bears,2002, Family,4.1,16892873
The Country Bears,2002, Music,4.1,16892873
The Country Bears,2002, Musical,4.1,16892873
Treasure Planet,2002,Animation,7.2,38120554
Treasure Planet,2002, Adventure,7.2,38120554
Treasure Planet,2002, Family,7.2,38120554
Treasure Planet,2002, Sci-Fi,7.2,38120554
Peter Pan 2: Return to Never Land,2002,Animation,5.8,48325822
Peter Pan 2: Return to Never Land,2002, Adventure,5.8,48325822
Peter Pan 2: Return to Never Land,2002, Family,5.8,48325822
Peter Pan 2: Return to Never Land,2002, Fantasy,5.8,48325822
Kim Possible,2002,Animation,7.2,
Kim Possible,2002, Action,7.2,
Kim Possible,2002, Adventure,7.2,
Kim Possible,2002, Comedy,7.2,
Kim Possible,2002, Family,7.2,
Kim Possible,2002, Mystery,7.2,
Kim Possible,2002, Romance,7.2,
Kim Possible,2002, Sci-Fi,7.2,
Brother Bear,2003,Animation,6.8,85095337
Brother Bear,2003, Adventure,6.8,85095337
Brother Bear,2003, Comedy,6.8,85095337
Brother Bear,2003, Family,6.8,85095337
Brother Bear,2003, Fantasy,6.8,85095337
Stitch! The Movie,2003,Animation,6.2,
Stitch! The Movie,2003, Adventure,6.2,
Stitch! The Movie,2003, Comedy,6.2,
Stitch! The Movie,2003, Family,6.2,
Stitch! The Movie,2003, Sci-Fi,6.2,
Finding Nemo,2003,Animation,8.1,380529370
Finding Nemo,2003, Adventure,8.1,380529370
Finding Nemo,2003, Comedy,8.1,380529370
Finding Nemo,2003, Family,8.1,380529370
Home on the Range,2004,Animation,5.3,49887802
Home on the Range,2004, Adventure,5.3,49887802
Home on the Range,2004, Comedy,5.3,49887802
Home on the Range,2004, Family,5.3,49887802
Home on the Range,2004, Music,5.3,49887802
Home on the Range,2004, Western,5.3,49887802
The Incredibles,2004,Animation,8,
The Incredibles,2004, Action,8,
The Incredibles,2004, Adventure,8,
The Incredibles,2004, Family,8,
Higglytown Heroes,2004,Animation,5.3,
Higglytown Heroes,2004, Family,5.3,
Chicken Little,2005,Animation,5.7,135289768
Chicken Little,2005, Adventure,5.7,135289768
Chicken Little,2005, Comedy,5.7,135289768
Chicken Little,2005, Family,5.7,135289768
Chicken Little,2005, Fantasy,5.7,135289768
Chicken Little,2005, Sci-Fi,5.7,135289768
Pooh's Heffalump Movie,2005,Animation,6.4,18013938
Pooh's Heffalump Movie,2005, Comedy,6.4,18013938
Pooh's Heffalump Movie,2005, Family,6.4,18013938
Pooh's Heffalump Movie,2005, Fantasy,6.4,18013938
Pooh's Heffalump Movie,2005, Musical,6.4,18013938
Pooh's Heffalump Movie,2005, Mystery,6.4,18013938
Brother Bear 2,2006,Animation,6.2,
Brother Bear 2,2006, Adventure,6.2,
Brother Bear 2,2006, Comedy,6.2,
Brother Bear 2,2006, Family,6.2,
Brother Bear 2,2006, Fantasy,6.2,
Mickey Mouse Clubhouse,2006,Animation,5.7,
Mickey Mouse Clubhouse,2006, Comedy,5.7,
Mickey Mouse Clubhouse,2006, Family,5.7,
Mickey Mouse Clubhouse,2006, Fantasy,5.7,
Mickey Mouse Clubhouse,2006, Musical,5.7,
The Fox and the Hound 2,2006,Animation,5.3,
The Fox and the Hound 2,2006, Adventure,5.3,
The Fox and the Hound 2,2006, Comedy,5.3,
The Fox and the Hound 2,2006, Family,5.3,
The Fox and the Hound 2,2006, Musical,5.3,
The Emperor's New School,2006,Animation,6.6,
The Emperor's New School,2006, Comedy,6.6,
The Emperor's New School,2006, Family,6.6,
The Emperor's New School,2006, Fantasy,6.6,
Meet the Robinsons,2007,Animation,6.8,97690955
Meet the Robinsons,2007, Adventure,6.8,97690955
Meet the Robinsons,2007, Comedy,6.8,97690955
Meet the Robinsons,2007, Family,6.8,97690955
Meet the Robinsons,2007, Sci-Fi,6.8,97690955
Phineas and Ferb,2007,Animation,7.9,
Phineas and Ferb,2007, Action,7.9,
Phineas and Ferb,2007, Comedy,7.9,
Phineas and Ferb,2007, Family,7.9,
Phineas and Ferb,2007, Musical,7.9,
Phineas and Ferb,2007, Sci-Fi,7.9,
My Friends Tigger & Pooh,2007,Animation,5.7,
My Friends Tigger & Pooh,2007, Family,5.7,
Enchanted,2007,Animation,7,127706877
Enchanted,2007, Comedy,7,127706877
Enchanted,2007, Family,7,127706877
Enchanted,2007, Fantasy,7,127706877
Enchanted,2007, Musical,7,127706877
Enchanted,2007, Romance,7,127706877
Bolt,2008,Animation,6.8,114053579
Bolt,2008, Adventure,6.8,114053579
Bolt,2008, Comedy,6.8,114053579
Bolt,2008, Drama,6.8,114053579
Bolt,2008, Family,6.8,114053579
Wild About Safety: Timon and Pumbaa Safety Smart at Home!,2008,Animation,7.3,
Wild About Safety: Timon and Pumbaa Safety Smart at Home!,2008, Short,7.3,
The Little Mermaid: Ariel's Beginning,2008,Animation,6.3,
The Little Mermaid: Ariel's Beginning,2008, Drama,6.3,
The Little Mermaid: Ariel's Beginning,2008, Family,6.3,
The Little Mermaid: Ariel's Beginning,2008, Fantasy,6.3,
The Little Mermaid: Ariel's Beginning,2008, Musical,6.3,
Tinker Bell and the Lost Treasure,2009,Animation,6.7,
Tinker Bell and the Lost Treasure,2009, Adventure,6.7,
Tinker Bell and the Lost Treasure,2009, Family,6.7,
Tinker Bell and the Lost Treasure,2009, Fantasy,6.7,
The Princess and the Frog,2009,Animation,7.1,104374107
The Princess and the Frog,2009, Adventure,7.1,104374107
The Princess and the Frog,2009, Comedy,7.1,104374107
The Princess and the Frog,2009, Family,7.1,104374107
The Princess and the Frog,2009, Fantasy,7.1,104374107
The Princess and the Frog,2009, Musical,7.1,104374107
The Princess and the Frog,2009, Romance,7.1,104374107
Robin Hood,2010,Action,6.6,105219735
Robin Hood,2010, Drama,6.6,105219735
Robin Hood,2010, History,6.6,105219735
Robin Hood,2010, Romance,6.6,105219735
Alice in Wonderland,2010,Adventure,6.4,319323000
Alice in Wonderland,2010, Family,6.4,319323000
Alice in Wonderland,2010, Fantasy,6.4,319323000
Tangled,2010,Animation,7.7,200803309
Tangled,2010, Adventure,7.7,200803309
Tangled,2010, Comedy,7.7,200803309
Tangled,2010, Family,7.7,200803309
Tangled,2010, Fantasy,7.7,200803309
Tangled,2010, Musical,7.7,200803309
Tangled,2010, Romance,7.7,200803309
Tinker Bell and the Great Fairy Rescue,2010,Animation,6.9,288544
Tinker Bell and the Great Fairy Rescue,2010, Adventure,6.9,288544
Tinker Bell and the Great Fairy Rescue,2010, Family,6.9,288544
Tinker Bell and the Great Fairy Rescue,2010, Fantasy,6.9,288544
TRON: Legacy,2010,Action,6.8,172051787
TRON: Legacy,2010, Adventure,6.8,172051787
TRON: Legacy,2010, Sci-Fi,6.8,172051787
Wreck-It Ralph,2012,Animation,7.7,189412677
Wreck-It Ralph,2012, Adventure,7.7,189412677
Wreck-It Ralph,2012, Comedy,7.7,189412677
Wreck-It Ralph,2012, Family,7.7,189412677
