Movie Name,Year,Keyword,IMDb Rating,Box Office
Hercules,1997,zeus,7.3,
Hercules,1997,ancient greece,7.3,
Hercules,1997,aftercreditsstinger,7.3,
Hercules,1997,olympus,7.3,
Hercules,1997,hercules,7.3,
Alice in Wonderland,2010,based on novel or book,6.4,319323000.0
Alice in Wonderland,2010,fictional place,6.4,319323000.0
Alice in Wonderland,2010,queen,6.4,319323000.0
Alice in Wonderland,2010,alice in wonderland,6.4,319323000.0
Alice in Wonderland,2010,fantasy world,6.4,319323000.0
Alice in Wonderland,2010,3d,6.4,319323000.0
Alice in Wonderland,2010,live action remake,6.4,319323000.0
Alice in Wonderland,2010,based on young adult novel,6.4,319323000.0
Make Mine Music,1946,musical,6.3,
The Fox and the Hound,1981,based on novel or book,7.3,
The Fox and the Hound,1981,fox,7.3,
The Fox and the Hound,1981,friendship,7.3,
The Fox and the Hound,1981,dog,7.3,
The Fox and the Hound,1981,animal,7.3,
The Fox and the Hound,1981,hunting,7.3,
The Fox and the Hound,1981,unlikely friendship,7.3,
Cinderella,2015,magic,6.9,183327144.0
Cinderella,2015,prince,6.9,183327144.0
Cinderella,2015,fairy tale,6.9,183327144.0
Cinderella,2015,kingdom,6.9,183327144.0
Cinderella,2015,royalty,6.9,183327144.0
Cinderella,2015,orphan,6.9,183327144.0
Cinderella,2015,lost shoe,6.9,183327144.0
Cinderella,2015,evil stepmother,6.9,183327144.0
Cinderella,2015,based on fairy tale,6.9,183327144.0
Cinderella,2015,retelling,6.9,183327144.0
Cinderella,2015,live action remake,6.9,183327144.0
Cinderella,2015,cenicienta,6.9,183327144.0
Cinderella,2015,cinderella,6.9,183327144.0
Brother Bear 2,2006,grizzly bear,6.2,
Brother Bear 2,2006,human animal relationship,6.2,
Brother Bear 2,2006,forest,6.2,
Brother Bear 2,2006,hibernation,6.2,
Brother Bear 2,2006,moose,6.2,
Lilo & Stitch,2002,sibling relationship,7.2,145771527.0
Lilo & Stitch,2002,extraterrestrial technology,7.2,145771527.0
Lilo & Stitch,2002,hawaii,7.2,145771527.0
Lilo & Stitch,2002,adoption,7.2,145771527.0
Lilo & Stitch,2002,mutation,7.2,145771527.0
Lilo & Stitch,2002,alien life-form,7.2,145771527.0
Lilo & Stitch,2002,alien phenomenons,7.2,145771527.0
Lilo & Stitch,2002,dog,7.2,145771527.0
Lilo & Stitch,2002,dead parents,7.2,145771527.0
Beauty and the Beast: The Enchanted Christmas,1997,fairy tale,6.1,
Beauty and the Beast: The Enchanted Christmas,1997,beast,6.1,
Beauty and the Beast: The Enchanted Christmas,1997,christmas,6.1,
The Adventures of Ichabod and Mr. Toad,1949,based on novel or book,7.0,
The Adventures of Ichabod and Mr. Toad,1949,halloween,7.0,
The Adventures of Ichabod and Mr. Toad,1949,mystery,7.0,
The Adventures of Ichabod and Mr. Toad,1949,canon,7.0,
The Adventures of Ichabod and Mr. Toad,1949,headless horseman,7.0,
The Adventures of Ichabod and Mr. Toad,1949,walt disney,7.0,
The Adventures of Ichabod and Mr. Toad,1949,disney,7.0,
101 Dalmatians,1996,"london, england",5.7,
101 Dalmatians,1996,fur,5.7,
101 Dalmatians,1996,fashion designer,5.7,
101 Dalmatians,1996,puppy,5.7,
101 Dalmatians,1996,fur coat,5.7,
101 Dalmatians,1996,based on children's book,5.7,
101 Dalmatians,1996,dog,5.7,
101 Dalmatians,1996,dalmatian,5.7,
101 Dalmatians,1996,female villain,5.7,
101 Dalmatians,1996,live action remake,5.7,
Frozen,2013,queen,7.5,400736600.0
Frozen,2013,musical,7.5,400736600.0
Frozen,2013,princess,7.5,400736600.0
Frozen,2013,betrayal,7.5,400736600.0
Frozen,2013,snowman,7.5,400736600.0
Frozen,2013,reindeer,7.5,400736600.0
Frozen,2013,curse,7.5,400736600.0
Frozen,2013,snow,7.5,400736600.0
Frozen,2013,troll,7.5,400736600.0
Frozen,2013,mountain climber,7.5,400736600.0
Frozen,2013,aftercreditsstinger,7.5,400736600.0
Frozen,2013,woman director,7.5,400736600.0
Frozen,2013,3d,7.5,400736600.0
The Three Caballeros,1944,part live action,6.5,
The Three Caballeros,1944,south america,6.5,
The Three Caballeros,1944,pinata,6.5,
The Three Caballeros,1944,live action and animation,6.5,
Tarzan,1999,gorilla,7.3,
Tarzan,1999,baby,7.3,
Tarzan,1999,adoption,7.3,
Tarzan,1999,feral child,7.3,
Tarzan,1999,nest,7.3,
Tarzan,1999,jungle,7.3,
Tarzan,1999,camp,7.3,
Tarzan,1999,orphan,7.3,
The Sword in the Stone,1963,based on novel or book,7.2,
The Sword in the Stone,1963,owl,7.2,
The Sword in the Stone,1963,merlin,7.2,
The Sword in the Stone,1963,knight,7.2,
The Sword in the Stone,1963,king arthur,7.2,
The Sword in the Stone,1963,turns into animal,7.2,
The Sword in the Stone,1963,excalibur,7.2,
The Sword in the Stone,1963,wart,7.2,
The Sword in the Stone,1963,sword in the stone,7.2,
Beauty and the Beast,1991,prince,8.0,47611331.0
Beauty and the Beast,1991,book,8.0,47611331.0
Beauty and the Beast,1991,castle,8.0,47611331.0
Beauty and the Beast,1991,rose,8.0,47611331.0
Beauty and the Beast,1991,musical,8.0,47611331.0
Beauty and the Beast,1991,princess,8.0,47611331.0
Beauty and the Beast,1991,based on tv series,8.0,47611331.0
Beauty and the Beast,1991,beast,8.0,47611331.0
Beauty and the Beast,1991,belle,8.0,47611331.0
Zootopia,2016,allegory,8.0,341264012.0
Zootopia,2016,lion,8.0,341264012.0
Zootopia,2016,hippopotamus,8.0,341264012.0
Zootopia,2016,fox,8.0,341264012.0
Zootopia,2016,elephant,8.0,341264012.0
Zootopia,2016,sheep,8.0,341264012.0
Zootopia,2016,polar bear,8.0,341264012.0
Zootopia,2016,bullying,8.0,341264012.0
Zootopia,2016,moose,8.0,341264012.0
Zootopia,2016,revenge,8.0,341264012.0
Zootopia,2016,conspiracy,8.0,341264012.0
Zootopia,2016,urban,8.0,341264012.0
Zootopia,2016,female protagonist,8.0,341264012.0
Zootopia,2016,cheetah,8.0,341264012.0
Zootopia,2016,anthropomorphism,8.0,341264012.0
Zootopia,2016,rabbit,8.0,341264012.0
Zootopia,2016,rookie cop,8.0,341264012.0
Zootopia,2016,missing person,8.0,341264012.0
Zootopia,2016,racial prejudice,8.0,341264012.0
Zootopia,2016,injustice,8.0,341264012.0
Zootopia,2016,reconciliation,8.0,341264012.0
Zootopia,2016,ram,8.0,341264012.0
Zootopia,2016,stereotype,8.0,341264012.0
Zootopia,2016,badger,8.0,341264012.0
Zootopia,2016,discrimination,8.0,341264012.0
Zootopia,2016,3d,8.0,341264012.0
Zootopia,2016,police woman,8.0,341264012.0
Zootopia,2016,yak,8.0,341264012.0
Zootopia,2016,african buffalo,8.0,341264012.0
Zootopia,2016,gazelle,8.0,341264012.0
Zootopia,2016,three-toed sloth,8.0,341264012.0
Zootopia,2016,arctic shrew,8.0,341264012.0
Zootopia,2016,african elephant,8.0,341264012.0
Zootopia,2016,honey badger,8.0,341264012.0
Zootopia,2016,indian elephant,8.0,341264012.0
Zootopia,2016,black jaguar,8.0,341264012.0
Zootopia,2016,fennec fox,8.0,341264012.0
Zootopia,2016,black rhinoceros,8.0,341264012.0
Zootopia,2016,nine-banded armadillo,8.0,341264012.0
Atlantis: The Lost Empire,2001,submarine,6.9,83561615.0
Atlantis: The Lost Empire,2001,sea,6.9,83561615.0
Atlantis: The Lost Empire,2001,atlantis,6.9,83561615.0
Atlantis: The Lost Empire,2001,underwater,6.9,83561615.0
